r,l,t
3310.2173216342926,541,4.455746650695801
3862.6317088007927,531,8.86070704460144
3758.4670147299767,536,13.200453996658325
3662.8404161930084,540,17.613728284835815
4240.869077324867,539,21.800073862075806
3296.5563804507256,544,26.27902340888977
4321.127108156681,547,30.86806035041809
3833.6022096276283,540,35.269270181655884
3749.9289221167564,540,39.702378034591675
4202.447679400444,539,43.99562120437622
3979.603526711464,537,48.327357053756714
4321.127117216587,539,52.78734302520752
2413.7179203629494,538,57.18624424934387
4270.752391338348,547,61.63137912750244
3247.889261007309,541,66.07168936729431
