r,l,t
9775.38899320364,1011,8.704323053359985
9834.944573879242,743,14.840959072113037
9810.055656135082,855,22.043819904327393
9840.000095129013,720,27.939176559448242
9841.722304463387,713,33.98969626426697
1418.145784676075,159,35.37068152427673
658.5158643722534,83,36.144707441329956
9829.277899682522,769,42.34836411476135
9642.055702984333,1611,54.94890069961548
657.6661666631699,83,55.70880055427551
658.5158641338348,82,56.46493935585022
9855.000130534172,653,61.78962969779968
